date,open,close,high,low,volume,isOpen
2020/3/16,56.52,53.81,57.26,53.81,23906627,1
2020/3/17,53.81,52.98,54.89,51.82,18114036,1
2020/3/18,53.52,52.03,54.6,51.96,17289607,1
2020/3/19,52.05,51.3,52.46,49.82,19468844,1
2020/3/20,52.24,52.46,52.73,51.34,14847804,1
2020/3/23,50.19,48.09,50.74,47.83,24303741,1
2020/3/24,49.2,49.67,49.82,47.33,20527852,1
2020/3/25,51.49,52.19,52.74,50.98,29014276,1
2020/3/26,52.44,54.2,55.11,51.55,29698456,1
2020/3/27,55.33,54.71,55.98,54.37,23025448,1
2020/3/30,54.93,56.16,57.71,54.8,32934075,1
2020/3/31,56.69,59.9,59.92,55.38,35060383,1
2020/4/1,59.83,57.05,60.59,56.95,36601373,1
2020/4/2,56.63,56.52,56.63,54.73,23412843,1
2020/4/3,56.52,54.93,56.52,54.84,16939712,1
2020/4/7,56.37,56.24,56.85,55.53,18934779,1
2020/4/8,55.73,55.25,55.73,54.97,12970212,1
2020/4/9,55.74,55.58,56.47,55.48,13350182,1
2020/4/10,56.21,54.5,56.21,54.08,13201640,1
2020/4/13,54.66,55.73,55.87,54.66,10268532,1
2020/4/14,55.73,57.85,57.93,55.31,23414981,1
2020/4/15,59.29,60.07,62.31,58.31,30660286,1
2020/4/16,60.03,59.94,61.22,58.98,16546155,1
2020/4/17,60.53,58.73,60.91,58.61,15668194,1
2020/4/20,59.33,58.79,59.33,58.09,10760539,1
2020/4/21,58.43,59.3,59.61,57.73,14732877,1
2020/4/22,58.33,59.36,59.93,57.81,12160695,1
2020/4/23,59.92,58.18,60.48,57.97,11617025,1
2020/4/24,58.6,58.66,60.42,58.43,13611563,1
2020/4/27,58.95,56.91,59.02,56.81,13843486,1
2020/4/28,56.93,56.91,57.52,54.69,12881570,1
2020/4/29,58.13,57.93,59.38,57.49,16532804,1
2020/4/30,58.75,59.89,60.51,58.44,21914464,1
2020/5/6,59.33,62.1,62.42,59.03,23219060,1
2020/5/7,62.09,60.02,62.09,59.91,22539406,1
2020/5/8,60.04,59.71,60.43,59.23,17168199,1
2020/5/11,59.22,58.81,59.59,58.04,19095007,1
2020/5/12,58.82,59.06,59.07,58.13,10414721,1
2020/5/13,59.06,58.92,59.68,58.43,11125141,1
2020/5/14,58.83,57.62,58.83,57.48,11850827,1
2020/5/15,57.72,57.89,58.51,57.23,10289708,1
2020/5/18,57.33,57.11,58.33,56.33,10487183,1
2020/5/19,57.93,58.15,58.53,57.68,9415721,1
2020/5/20,58.63,58.94,60.23,58.6,16490982,1
2020/5/21,59.04,57.08,59.3,56.94,12111621,1
2020/5/22,57.09,55.96,57.6,55.44,9246285,1
2020/5/25,55.96,56.45,56.48,55.24,5977023,1
2020/5/26,56.73,58.23,58.31,56.73,9866452,1
2020/5/27,59.53,57.23,59.88,57,11375674,1
2020/5/28,57.28,57.41,58.16,56.33,8640605,1
2020/5/29,57.05,57.34,57.95,56.74,6811982,1
2020/6/1,57.68,59.26,59.62,57.37,16126531,1
2020/6/2,59.5,60.93,62.1,58.81,20504722,1
2020/6/3,60.72,59.86,60.98,59.41,14653641,1
